"date","price","receive_count","sent_count","avg_fee","blocksize","btchashrate","OIL","ecr20_transfers","GOLD","searches","hashrate","marketcap","difficulty","s&p500","transactionfee","transactions","tweet_count","unique_adresses","VIX","UVYX"
2016-12-01,8.44,6727,13722,0.01,1407,2045226.33802898,51.06,586,1233.7,1,5268.3704,730.173759595,70.31,2191.08,27223136520090243072,37121,3644,859257,14.07,11430
2016-12-02,7.65,7390,15439,0.01,1462,2045226.33802898,51.68,1701,1242.4,1,5341.6121,662.071353989062,71.265,2191.95,28081757219806351360,41642,3164,862502,14.12,11440
2016-12-03,7.9,9250,14046,0,1404,2109770.13119712,51.68,413,1242.4,1,5614.5189,683.96139235625,74.253,2191.95,25910085196639703040,41357,2247,868899,14.12,11440
2016-12-04,7.54,9378,12992,0,1403,2109770.13119712,51.68,460,1242.4,1,5551.9253,653.02857208875,75.672,2191.95,26259067852262248448,39643,1852,874459,14.12,11440
2016-12-05,6.69,7684,14357,0.01,1491,2109770.13119712,51.79,805,1241.7,1,5409.3217,579.62025280125,73.601,2204.71,31260227778687815680,41613,2076,881172,12.14,9930
2016-12-06,7.61,9746,15861,0.01,1615,2494660.6281047,50.93,1055,1235,1,5367.7479,659.5722020425,71.207,2212.23,34724190362202271744,48200,3178,883754,11.79,9210
2016-12-07,8.35,6604,14120,0.01,1523,2494660.6281047,49.77,4554,1250.6,1,5496.8057,723.97409870625,73.643,2241.35,3.4986830893401e+19,41757,3804,885642,12.22,9270
2016-12-08,8.3,6817,14277,0.17,1416,2494660.6281047,50.84,749,1246.4,1,5783.3873,719.90530518125,76.369,2246.19,7.92488980472848e+20,39587,2433,887335,12.64,9310
2016-12-09,8.52,8540,13974,0.01,1502,1881686.8737704,51.5,682,1236,1,5914.8346,739.2568810725,79.28,2259.53,3.1427944831705e+19,41444,2236,889144,11.75,9140
2016-12-10,8.09,7015,13880,0.01,1428,1881686.8737704,51.5,1920,1236,1,6040.1544,702.203230187188,80.985,2259.53,29027316459710689280,40564,2034,892527,11.75,9140
2016-12-11,8.2,7686,13690,0.01,1681,1881686.8737704,51.5,812,1236,1,6204.02,712.0117236,82.938,2259.53,36802824752362151936,39164,2187,895206,11.75,9140
2016-12-12,8.45,7752,14807,0.01,1477,2537426.23887221,52.83,712,1240.3,1,5975.0517,733.98421581875,80.878,2256.96,31236666299979218944,38741,1959,896938,12.64,9250
2016-12-13,8.4,7100,13654,0.01,1538,2537426.23887221,52.98,1160,1233.6,1,6168.728,729.90831795,82.224,2271.72,3.096445138376e+19,44664,2874,898535,12.72,9430
2016-12-14,8.23,8898,13995,0.01,1835,2537426.23887221,51.04,2410,1238.3,1,6132.4685,715.398493254062,81.678,2253.28,34886653378922418176,47294,2608,901773,13.19,9370
2016-12-15,7.76,9998,14090,0.01,1582,2050571.62855749,50.9,1641,1213.1,1,6097.3583,674.7868294925,82.534,2262.03,34427867607164911616,46102,2306,905539,12.79,9080
2016-12-16,7.85,7796,14878,0.01,1506,2050571.62855749,51.9,615,1220.9,1,6290.8766,682.862253190625,84.138,2258.07,30594388154557095936,43953,1920,907424,12.2,8850
2016-12-17,7.66,7685,13423,0.01,1418,2050571.62855749,51.9,472,1220.9,1,6370.3847,666.579208551875,84.534,2258.07,32801700786191405056,39442,1919,910520,12.2,8850
